id,prediction
0,0.0
1,0.0
2,0.0
3,54.377586
4,361.6821
5,988.67365
6,1857.0729
7,2419.5464
8,2629.7427
9,2781.1968
10,2771.3062
11,2651.2847
12,2415.9136
13,2402.1328
14,2232.068
15,1675.849
16,1201.4392
17,651.8827
18,260.58646
19,6.8328743
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.11070534
27,123.060936
28,558.37366
29,1192.3884
30,1766.7878
31,2727.3335
32,3553.3562
33,3835.7722
34,3787.5117
35,3648.681
36,3585.134
37,3621.302
38,3453.729
39,2796.078
40,1861.5502
41,900.05994
42,432.3797
43,64.033714
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,26.034006
51,190.47922
52,590.6143
53,1550.9333
54,2773.275
55,3822.095
56,4509.3125
57,4889.428
58,4891.998
59,4485.54
60,4151.8184
61,3915.317
62,3021.858
63,2035.9769
64,1359.0726
65,849.31165
66,412.52948
67,129.2667
68,0.9385724
69,0.049510047
70,0.021492947
71,0.0
72,0.0
73,0.0
74,6.894652
75,123.29287
76,489.4166
77,1443.748
78,2575.774
79,3643.1157
80,4157.027
81,3671.125
82,3637.8333
83,3568.1099
84,3270.5505
85,3501.6328
86,3558.295
87,2886.3625
88,1758.2461
89,658.74554
90,327.08267
91,114.937
92,0.24795413
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,56.09428
99,221.04619
100,633.22125
101,1523.2366
102,2599.2632
103,3515.1282
104,4243.1553
105,4633.6143
106,4859.8984
107,4905.2725
108,4713.536
109,4258.178
110,3487.8054
111,2764.701
112,1787.5164
113,954.13513
114,460.1145
115,167.97963
116,13.065012
117,0.0
118,0.0
119,0.0
120,0.0
121,0.05462808
122,75.983734
123,233.44759
124,654.8014
125,1611.9719
126,2719.684
127,3460.2761
128,3683.5977
129,3669.0708
130,3630.3706
131,3589.8508
132,3560.4597
133,3619.7566
134,3297.6152
135,2478.6323
136,1520.6863
137,882.17755
138,445.60345
139,169.22871
140,12.483896
141,0.0
142,0.0
143,0.0
144,0.0
145,0.05657519
146,79.02609
147,235.03133
148,659.4524
149,1653.6002
150,2806.4082
151,3800.9868
152,4445.0166
153,4582.692
154,4397.7344
155,4199.483
156,3836.9907
157,3674.371
158,3225.3804
159,2311.2915
160,1531.3699
161,855.6442
162,422.6617
163,142.69699
164,4.126718
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,18.532965
171,56.472492
172,78.38539
173,184.88647
174,318.55356
175,439.00635
176,577.41785
177,664.25336
178,744.56213
179,1352.7236
180,2008.3705
181,2032.0524
182,1899.1381
183,1677.4619
184,1071.3168
185,577.0099
186,306.25763
187,123.79985
188,12.687065
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,38.829586
195,133.04733
196,331.57367
197,665.06836
198,1308.9078
199,2033.4427
200,1511.1334
201,2127.7363
202,2519.0166
203,1775.6869
204,2371.5427
205,2367.9163
206,2110.2632
207,916.6002
208,556.1139
209,345.7626
210,151.6099
211,44.158333
212,1.7011601
213,0.0
214,0.0
215,0.0
216,0.0
217,0.08411983
218,39.53162
219,81.101654
220,104.80857
221,294.32977
222,669.72784
223,1107.6548
224,1623.5059
225,1617.768
226,1534.3575
227,1552.3829
228,1158.978
229,912.6802
230,809.0596
231,714.8748
232,475.53912
233,294.30902
234,182.68053
235,42.252647
236,6.047722
237,0.0
238,0.0
239,0.0
240,0.0
241,0.037408024
242,34.80236
243,99.82613
244,278.06268
245,690.5294
246,1371.2461
247,1946.2295
248,1828.0443
249,926.34094
250,945.7959
251,1131.5256
252,1671.6667
253,1606.5076
254,1549.0465
255,1616.7506
256,1314.8004
257,801.7371
258,425.56265
259,205.22116
260,39.426083
261,0.19849631
262,0.07280437
263,0.07081101
264,0.0
265,0.543388
266,56.199207
267,145.16461
268,359.23145
269,688.0208
270,1181.9646
271,1607.2058
272,1890.0706
273,1968.6514
274,1964.7908
275,2083.1953
276,1981.4346
277,1737.5813
278,1591.3955
279,1308.0715
280,830.66003
281,480.84454
282,233.81021
283,79.99262
284,14.584463
285,0.0
286,0.0
287,0.0
288,0.0
289,1.0862373
290,76.54223
291,162.2414
292,308.43036
293,633.5045
294,1181.5544
295,1436.5005
296,1720.8978
297,2225.774
298,2449.4243
299,2183.3557
300,1808.2664
301,1638.1707
302,1417.512
303,1114.1289
304,742.94885
305,488.8078
306,278.82
307,130.27649
308,33.91256
309,0.0
310,0.0
311,0.0
312,0.0
313,0.6653978
314,65.65001
315,205.10336
316,468.6447
317,835.1678
318,1290.7249
319,1877.8385
320,2385.2056
321,2619.7422
322,2579.5068
323,2334.0022
324,2015.6943
325,1691.0885
326,1270.0513
327,900.3298
328,668.1619
329,415.7556
330,225.48425
331,107.103905
332,21.990301
333,0.0
334,0.0
335,0.0
336,0.0
337,0.08517496
338,33.92023
339,90.6905
340,254.72404
341,547.15857
342,797.0511
343,970.8595
344,1235.6409
345,1512.4163
346,1620.834
347,1598.9006
348,1459.3053
349,1252.6855
350,1083.2333
351,925.46857
352,663.0869
353,408.28705
354,222.00137
355,100.633125
356,20.273184
357,0.0
358,0.0
359,0.0
360,0.0
361,1.2146416
362,47.89541
363,131.75587
364,286.98083
365,509.112
366,783.20807
367,1167.0215
368,1642.2972
369,1924.9291
370,1995.9983
371,2042.2786
372,2016.6412
373,1685.2764
374,1232.5707
375,973.7469
376,855.3387
377,667.16223
378,345.26334
379,115.75803
380,16.828611
381,0.0
382,0.0
383,0.0
384,0.0
385,1.3305314
386,41.15043
387,112.781204
388,258.1375
389,476.50262
390,635.5071
391,766.2306
392,981.62585
393,1209.2935
394,1429.5292
395,1540.3364
396,1714.1907
397,1569.4475
398,1172.7137
399,879.416
400,764.3865
401,692.5202
402,474.70923
403,185.44
404,52.92727
405,0.04173511
406,0.0
407,0.0
408,0.016827727
409,20.971764
410,158.87889
411,387.1997
412,872.6292
413,1999.5348
414,3104.4822
415,4011.5454
416,4634.468
417,4933.551
418,5037.2085
419,5036.8843
420,4893.4795
421,4470.0156
422,3641.4731
423,2919.48
424,2116.2776
425,1223.52
426,571.9818
427,311.47504
428,134.05457
429,0.9728509
430,0.0
431,0.019375866
432,0.0
433,12.872841
434,131.01003
435,384.38293
436,876.91077
437,1584.0096
438,2275.3916
439,2987.3489
440,3874.6528
441,4331.3564
442,4017.696
443,3050.8835
444,1989.6927
445,1419.4348
446,1263.2678
447,1349.76
448,1089.5979
449,629.4855
450,338.20633
451,149.67902
452,63.22865
453,0.0
454,0.0
455,0.0
456,0.0
457,5.673024
458,70.46956
459,184.30182
460,412.90176
461,1052.7488
462,2462.4497
463,3024.7993
464,3188.3982
465,3887.1992
466,4646.172
467,4889.8154
468,4760.17
469,4287.7407
470,3634.934
471,2954.3362
472,2167.6277
473,1225.2078
474,578.86395
475,292.15326
